[Thu Aug 27 03:11:08.305122 2020] [:error] [pid 17775] [client 127.0.0.1:43944] PHP Fatal error:  Class 'App\\Models\\Notification' not found in /var/www/html/royartisan/app/Http/Controllers/Controller.php on line 33, referer: http://handymateservices.com/
[Thu Aug 27 03:14:32.193479 2020] [:error] [pid 17820] [client 127.0.0.1:43978] PHP Fatal error:  Class 'App\\Models\\Notification' not found in /var/www/html/royartisan/app/Http/Controllers/Controller.php on line 33, referer: http://handymateservices.com/
[Thu Aug 27 03:14:34.666790 2020] [:error] [pid 25648] [client 127.0.0.1:43982] PHP Fatal error:  Class 'App\\Models\\Notification' not found in /var/www/html/royartisan/app/Http/Controllers/Controller.php on line 33, referer: http://handymateservices.com/
[Thu Aug 27 03:15:34.514573 2020] [:error] [pid 17770] [client 127.0.0.1:43988] PHP Fatal error:  Class 'App\\Models\\Notification' not found in /var/www/html/royartisan/app/Http/Controllers/Controller.php on line 33, referer: http://handymateservices.com/
[Thu Aug 27 03:16:22.030574 2020] [:error] [pid 11085] [client 127.0.0.1:43992] PHP Fatal error:  Class 'App\\Models\\Notification' not found in /var/www/html/royartisan/app/Http/Controllers/Controller.php on line 33, referer: http://handymateservices.com/
[Thu Aug 27 03:17:26.084099 2020] [:error] [pid 11088] [client 127.0.0.1:43996] PHP Fatal error:  Class 'App\\Models\\Notification' not found in /var/www/html/royartisan/app/Http/Controllers/Controller.php on line 33, referer: http://handymateservices.com/
[Thu Aug 27 03:19:02.768093 2020] [:error] [pid 11086] [client 127.0.0.1:44000] PHP Fatal error:  Class 'App\\Models\\Notification' not found in /var/www/html/royartisan/app/Http/Controllers/Controller.php on line 33, referer: http://handymateservices.com/
[Thu Aug 27 03:21:36.813358 2020] [:error] [pid 11091] [client 127.0.0.1:44052] PHP Fatal error:  Class 'App\\Models\\Notification' not found in /var/www/html/royartisan/app/Http/Controllers/Controller.php on line 33, referer: http://handymateservices.com/
[Thu Aug 27 03:23:28.022543 2020] [:error] [pid 11090] [client 127.0.0.1:44060] PHP Fatal error:  Class 'App\\Models\\Notification' not found in /var/www/html/royartisan/app/Http/Controllers/Controller.php on line 33, referer: http://handymateservices.com/
[Thu Aug 27 19:30:32.430227 2020] [:error] [pid 10327] [client 127.0.0.1:55024] PHP Parse error:  syntax error, unexpected end of file in /var/www/html/royartisan/routes/api.php on line 22
[Thu Aug 27 20:41:48.844909 2020] [:error] [pid 4278] [client 127.0.0.1:57078] PHP Fatal error:  Interface 'Tymon\\JWTAuth\\Contracts\\JWTSubject' not found in /var/www/html/royartisan/app/User.php on line 11, referer: http://localhost:8100/
[Thu Aug 27 20:45:54.718030 2020] [:error] [pid 4279] [client 127.0.0.1:57202] PHP Fatal error:  Interface 'Tymon\\JWTAuth\\Contracts\\JWTSubject' not found in /var/www/html/royartisan/app/User.php on line 11, referer: http://localhost:8100/
[Thu Aug 27 21:06:47.915854 2020] [:error] [pid 4279] [client 127.0.0.1:57752] PHP Fatal error:  Call to undefined method Illuminate\\Auth\\TokenGuard::factory() in /var/www/html/royartisan/app/Http/Controllers/Auth/LoginController.php on line 304, referer: http://localhost:8100/
[Thu Aug 27 21:15:35.005220 2020] [:error] [pid 4274] [client 127.0.0.1:58196] PHP Fatal error:  Call to undefined method Illuminate\\Auth\\TokenGuard::factory() in /var/www/html/royartisan/app/Http/Controllers/Auth/LoginController.php on line 304, referer: http://localhost:8100/
[Thu Aug 27 21:18:16.911735 2020] [:error] [pid 4279] [client 127.0.0.1:58222] PHP Fatal error:  Call to undefined method Illuminate\\Auth\\TokenGuard::attempt() in /var/www/html/royartisan/app/Http/Controllers/Auth/LoginController.php on line 283, referer: http://localhost:8100/
[Thu Aug 27 22:25:14.514341 2020] [:error] [pid 4278] [client 127.0.0.1:59154] PHP Fatal error:  Call to a member function User() on null in /var/www/html/royartisan/app/Http/Controllers/Auth/LoginController.php on line 307
[Thu Aug 27 22:26:13.211660 2020] [:error] [pid 4270] [client 127.0.0.1:59168] PHP Fatal error:  Call to a member function User() on null in /var/www/html/royartisan/app/Http/Controllers/Auth/LoginController.php on line 308
[Thu Aug 27 22:27:42.414637 2020] [:error] [pid 14773] [client 127.0.0.1:59180] PHP Fatal error:  Call to a member function User() on null in /var/www/html/royartisan/app/Http/Controllers/Auth/LoginController.php on line 307
[Thu Aug 27 22:27:44.102308 2020] [:error] [pid 4274] [client 127.0.0.1:59184] PHP Fatal error:  Call to a member function User() on null in /var/www/html/royartisan/app/Http/Controllers/Auth/LoginController.php on line 307
[Thu Aug 27 22:27:45.454820 2020] [:error] [pid 4278] [client 127.0.0.1:59188] PHP Fatal error:  Call to a member function User() on null in /var/www/html/royartisan/app/Http/Controllers/Auth/LoginController.php on line 307
[Fri Aug 28 14:54:44.308032 2020] [:error] [pid 17978] [client 127.0.0.1:52986] PHP Parse error:  syntax error, unexpected '$arr' (T_VARIABLE) in /var/www/html/royartisan/app/Http/Middleware/VerifyToken.php on line 24
[Sun Aug 30 19:18:49.635940 2020] [:error] [pid 11117] [client 127.0.0.1:42098] PHP Parse error:  syntax error, unexpected '$messages' (T_VARIABLE) in /var/www/html/royartisan/app/Http/Controllers/APIController.php on line 466, referer: http://localhost:8100/
[Sun Aug 30 19:18:55.897665 2020] [:error] [pid 28229] [client 127.0.0.1:42102] PHP Parse error:  syntax error, unexpected '$messages' (T_VARIABLE) in /var/www/html/royartisan/app/Http/Controllers/APIController.php on line 466, referer: http://localhost:8100/
[Sun Aug 30 22:30:27.080377 2020] [:error] [pid 28611] [client 127.0.0.1:45214] PHP Fatal error:  Call to a member function count() on array in /var/www/html/royartisan/app/Http/Controllers/APIController.php on line 567, referer: http://localhost:8100/
[Mon Aug 31 11:40:30.906486 2020] [:error] [pid 21573] [client 127.0.0.1:50808] PHP Fatal error:  Class 'App\\Models\\User' not found in /var/www/html/royartisan/app/Http/Controllers/APIController.php on line 740, referer: http://localhost:8100/
